Designator,Comment,Footprint,JLCPCB Part #
"DA0,DA1,DA2,DA3,DA4,DA5,DA6.DA7.DA8.DA9.DA10.DA11.DA12.DA13.DA14.DA15.DD0.DD1.DD2.DD3.DD4.DD5.DD6.DD7.DD8.DD9.DD10.DD11.DD12.DD13.DD14.DD15",PT19-21C/L41/TR8,D0603,C131276
"MT1,MT2,MT3,MT4",MOUNTINGHOLE-TOOL,hole,NOSTUFF
